Mean1,STD1,SKW1,KUR1,Mean2,STD2,SKW2,KUR2,Mean3,STD3,SKW3,KUR3,Mean4,STD4,SKW4,KUR4,Mean5,STD5,SKW5,KUR5,Mean6,STD6,SKW6,KUR6,Mean7,STD7,SKW7,KUR7,Mean8,STD8,SKW8,KUR8,Mean9,STD9,SKW9,KUR9,Mean10,STD10,SKW10,KUR10,Mean11,STD11,SKW11,KUR11,Mean12,STD12,SKW12,KUR12,Mean13,STD13,SKW13,KUR13,Mean14,STD14,SKW14,KUR14,Mean15,STD15,SKW15,KUR15,Mean16,STD16,SKW16,KUR16,Mean17,STD17,SKW17,KUR17,Label
-0.013582306,0.199269429,-0.763388515,17.44757843,-0.024380859,0.092973761,0.007170182,2.866348028,-0.016637696,0.092171684,-0.009256531,2.858564615,-0.012407226,0.091049187,0.028982982,2.822292328,-0.014081054,0.095587105,-0.004142484,2.843681335,-0.012027344,0.090408958,-0.010900632,2.787323952,-0.012245606,0.094881587,-0.001347028,2.967290163,-0.012605469,0.093954034,0.007443366,2.831029892,-0.008413086,0.486141533,0.075006165,3.943168163,-0.123395994,0.504670501,-0.217891097,2.853399754,0.082531251,0.103497222,0.022778433,2.848437071,0.001557617,0.092568316,0.007073761,2.837316513,-0.01175,0.09426111,0.009056271,2.879165888,-0.012854492,0.092541456,0.019669928,2.865296125,-0.012770019,0.093485825,0.047774997,2.841252565,-0.014222168,0.092033327,-0.01730362,2.814565659,-0.013614746,0.090234123,0.013828668,2.870312691,M4
-0.013049988,0.093157895,0.001122341,2.837669373,-0.013159668,0.092458025,0.003563223,2.871475458,-0.012412109,0.091398917,0.003335448,2.769447565,-0.013228027,0.093031049,0.03533119,2.852201939,-0.012937012,0.095415205,0.01054325,2.857212067,-0.012935547,0.093814254,-0.014682912,2.773163795,-0.012827637,0.091816857,-0.007025148,2.833007813,-0.013517578,0.093049832,0.005339155,2.848097563,-0.012720703,0.091761038,0.004001103,2.825031519,-0.013323731,0.09588629,-0.019245761,2.826510191,-0.013298828,0.092120782,-0.002702808,2.792682648,-0.013055176,0.095206439,0.009964227,2.856290817,-0.013602539,0.094064437,0.011603617,2.816880941,-0.012527344,0.090354294,0.005365387,2.78572917,-0.013565429,0.093099274,0.005633657,2.906080246,-0.012046386,0.091861121,-0.01856102,2.849942207,-0.013642089,0.095005214,-0.009454034,2.873370886,M4
-0.004597321,0.197687671,1.028054714,19.71037674,-0.013481446,0.09573032,-0.011384462,2.907077312,-0.012918457,0.092015363,-0.006836673,2.826660633,-0.013082519,0.09353862,0.023122491,2.831960201,-0.012632324,0.090388887,0.010287778,2.769443989,-0.013008301,0.091172546,-0.007016172,2.807691813,-0.013496582,0.093914934,-0.005773277,2.910360098,-0.012619141,0.090646043,0.021886498,2.763622284,-0.013169922,0.090162292,0.011847987,2.735488892,-0.011825196,0.092913985,0.009303754,2.856548309,-0.013749512,0.089846477,-0.006876081,2.749426126,-0.012626953,0.093468055,0.001091195,2.888859987,-0.013081543,0.093586974,0.004459876,2.877748966,-0.012932129,0.093672678,-0.01226959,2.902646542,-0.013130859,0.095855057,-0.004612729,2.8920753,-0.012824219,0.092335664,0.008326723,2.899035692,0.121021971,0.692650497,-0.157934844,1.994981527,M4
-0.02026532,0.118865669,0.902630329,10.21161461,-0.083713867,0.296885967,1.539378405,4.78554678,-0.050181154,0.109598264,-0.237431318,2.929383278,-0.015513672,0.094769917,0.023342971,2.867120028,-0.015099121,0.091007859,0.013153435,2.816939831,-0.013857421,0.090494253,-0.016665496,2.842339993,-0.014061524,0.092650175,0.030208666,2.888041735,-0.012524902,0.09229771,-0.036510795,2.796773672,-0.013739746,0.095504805,-0.007902542,2.873083353,-0.013176758,0.092444986,0.021090992,2.90510416,-0.013522461,0.089551359,-0.00067193,2.866562366,-0.012969727,0.094264835,-0.021256462,2.887502432,-0.012761231,0.09369497,0.02552302,2.849735737,-0.013291015,0.094141103,0.011402695,2.873301268,-0.013473633,0.093007624,-0.003948652,2.842495918,-0.012791504,0.091244534,0.000781027,2.875184298,-0.013567382,0.092877917,-0.023933578,2.82881546,M4
-0.013264771,0.093952268,-0.007032446,2.852889538,-0.013393555,0.093823873,-0.025329975,2.890304089,-0.013748047,0.092124648,-0.004427872,2.807974577,-0.012636718,0.092260435,-0.008235672,2.874748468,-0.013103516,0.090796582,0.002001208,2.80850482,-0.013768067,0.091912672,-0.015181985,2.816575766,-0.01319336,0.093415894,0.020438625,2.804500341,-0.013148437,0.090210326,0.004320591,2.857110023,-0.013008789,0.094265439,-0.028421152,2.886230707,-0.013191407,0.098779768,0.008795427,2.845267057,-0.013635742,0.095151871,0.009997154,2.870138884,-0.013124512,0.098395616,0.010348254,2.809117317,-0.013362793,0.097381406,0.002908321,2.912066936,-0.013058105,0.095948279,-0.010169539,2.797049284,-0.012644531,0.094589017,-0.017735561,2.817739725,-0.013003418,0.09151876,-0.025468927,2.822992325,-0.014215332,0.092134863,-0.045385759,2.882313251,M4
-0.014323059,0.181663856,-0.134472519,19.80364609,-0.013698731,0.094020553,0.006079413,2.802344799,-0.013501464,0.093860492,-0.017472008,2.870839357,-0.013154785,0.097464375,0.007276996,2.929214478,-0.013654297,0.095543556,0.013254548,2.914741516,-0.012959961,0.096786894,0.017400239,2.855706453,-0.012337402,0.097927012,-0.00594377,2.900468826,-0.012918945,0.095302314,-0.017412949,2.883805752,-0.123796873,0.615970194,0.470530719,2.516557693,0.051746093,0.093762033,-0.013130151,2.814616919,0.007831055,0.09034887,-0.012217671,2.794123173,-0.010637207,0.091596365,-0.003899032,2.782441854,-0.012398438,0.090087824,9.04739E-05,2.758606672,-0.012227051,0.092719808,-0.021961268,2.855769157,-0.012185059,0.091970004,-0.041278671,2.847872972,-0.012922363,0.090749256,-0.001104836,2.780495405,-0.012353515,0.093198068,-0.020707577,2.880783558,M4
-0.013166473,0.092289552,0.004271237,2.855337858,-0.012843261,0.090373807,0.004137915,2.790964127,-0.012725586,0.09132912,-0.00853239,2.824287653,-0.013765625,0.094263613,0.03469583,2.916296721,-0.012972168,0.092906982,0.011817023,2.893151283,-0.012589356,0.095053926,-0.017873932,2.944841623,-0.013890137,0.092676073,0.012614823,2.838475943,-0.01277832,0.089656942,0.0162096,2.781722546,-0.013297851,0.090642363,0.001163181,2.868406057,-0.013045899,0.092032976,0.016876116,2.810903311,-0.01294043,0.092977777,-0.019501995,2.883306026,-0.012731934,0.091789886,-0.023171009,2.899932146,-0.014083496,0.090510324,0.009441775,2.77888751,-0.013373047,0.092780419,-0.009617604,2.849249125,-0.013156738,0.092577428,0.029315241,2.846431494,-0.013100586,0.092345715,-0.008270524,2.828061581,-0.01336914,0.094550744,0.019046307,2.848855972,M4
-0.022630127,0.197906986,-0.749549329,18.27551079,-0.012828614,0.093604758,0.011117224,2.828986883,-0.012763184,0.092428043,-0.015871342,2.80797267,-0.013804199,0.094460227,-0.015493622,2.881381989,-0.012730957,0.09070541,-0.008448331,2.775466204,-0.013229492,0.094164841,0.023585344,2.85530138,-0.013060546,0.091287762,0.009769368,2.812608004,-0.013346191,0.090492778,-0.001115171,2.814816475,-0.012643554,0.092927516,0.013073268,2.833858728,-0.013596191,0.090914808,-0.008222095,2.775111675,-0.012929199,0.093355231,-0.001981973,2.789240837,-0.013154785,0.093045875,-0.027306307,2.938346386,-0.01257666,0.090618849,-0.001919043,2.823329449,-0.01322998,0.091670141,-0.020110179,2.87113595,-0.013392578,0.090805307,-0.003878582,2.820273638,-0.012062988,0.19849509,-0.077549241,15.88593006,-0.166732907,0.66796571,0.331819475,2.119856596,M4
-0.003303131,0.098087691,0.139679909,3.036761761,0.111213379,0.101170845,-0.014777866,2.86311698,0.012632812,0.093000479,0.007509644,2.791204691,-0.008739258,0.092181049,-0.006685878,2.861138582,-0.01207959,0.090106875,0.044432055,2.760362625,-0.012338867,0.092999555,0.012642739,2.808568954,-0.012626953,0.092194803,0.021973135,2.871957064,-0.013249512,0.091862939,0.018471895,2.884081841,-0.012849609,0.092178173,0.012432886,2.836111546,-0.013250977,0.088942818,-0.026353318,2.876148224,-0.012965821,0.093748011,-0.019730277,2.849137306,-0.012524414,0.094700985,0.026226472,2.836527586,-0.013196289,0.092553437,-0.001300591,2.811178923,-0.013057129,0.094881214,0.015433208,2.843029737,-0.01335498,0.093762375,0.019334972,2.840666056,-0.013310059,0.091939919,-0.02076206,2.788309097,-0.013152832,0.096327677,-0.016009519,2.832764626,M4
-0.013004303,0.09229672,-0.002074576,2.827732086,-0.012561035,0.091520905,-0.008050706,2.850706339,-0.013408692,0.093167715,-0.006548129,2.781965733,-0.012794922,0.089751631,-0.016141664,2.762252331,-0.012802246,0.089512847,0.016320407,2.881164551,-0.013761719,0.092996858,-0.003055668,2.827247381,-0.012651367,0.091008998,-0.022526719,2.802376986,-0.01284082,0.095327996,-0.040440731,2.855905294,-0.012302734,0.095091395,0.019577632,2.861745358,-0.013422363,0.091533639,-0.009884167,2.769604921,-0.012779297,0.093074054,-0.003628424,2.828120708,-0.012675781,0.094884537,0.009064612,2.841996193,-0.013805664,0.091742747,0.041169953,2.762068987,-0.012825684,0.095017798,-0.01584971,2.874122858,-0.013582031,0.090160467,-0.009848828,2.812945127,-0.012981446,0.089677081,-0.001625258,2.817500591,-0.012873047,0.091969617,0.018239312,2.810943365,M4
