Mean1,STD1,SKW1,KUR1,Mean2,STD2,SKW2,KUR2,Mean3,STD3,SKW3,KUR3,Mean4,STD4,SKW4,KUR4,Mean5,STD5,SKW5,KUR5,Mean6,STD6,SKW6,KUR6,Mean7,STD7,SKW7,KUR7,Mean8,STD8,SKW8,KUR8,Mean9,STD9,SKW9,KUR9,Mean10,STD10,SKW10,KUR10,Mean11,STD11,SKW11,KUR11,Mean12,STD12,SKW12,KUR12,Mean13,STD13,SKW13,KUR13,Mean14,STD14,SKW14,KUR14,Mean15,STD15,SKW15,KUR15,Mean16,STD16,SKW16,KUR16,Mean17,STD17,SKW17,KUR17,Label
-0.019090088,0.092049956,0.000322465,2.838942766,-0.0468584,0.096530691,0.047013305,2.876987696,-0.033723634,0.091637984,-0.012521656,2.806454659,-0.025851563,0.089678235,0.00522745,2.80168438,-0.021819336,0.092223294,0.013054494,2.845427752,-0.019062988,0.08999107,0.005416425,2.807157278,-0.016833495,0.092609972,0.023939027,2.860568523,-0.0150625,0.092269853,0.015460961,2.849899054,-0.015512207,0.090563141,-0.02099476,2.791079998,-0.015026367,0.092555568,0.031682141,2.846040964,-0.014637207,0.090318136,-0.003323272,2.879297018,-0.013452148,0.0915429,0.03798284,2.78249383,-0.013972656,0.092277765,-0.00857891,2.853070259,-0.013460938,0.089174949,-0.008033596,2.803817272,-0.01435791,0.090635575,0.005129143,2.801493645,-0.01325586,0.092433423,-0.039155167,2.828246832,-0.012554199,0.09109211,0.037211798,2.841611624,M1
0.009477173,0.144325376,1.688661814,8.684706688,-0.01415039,0.092907757,0.020053236,2.848343611,-0.013458984,0.091243617,0.02056957,2.806633472,-0.013278808,0.089196302,-0.003745651,2.825009823,-0.004635254,0.161231473,0.662793756,11.50653076,0.385644525,0.178270042,-0.026610738,2.190355062,0.031480957,0.103791043,-0.00143554,2.839354515,-0.032164551,0.094832458,-1.39627E-05,2.853876352,-0.033803221,0.091174796,-0.037708178,2.834219933,-0.029395996,0.092871055,-0.010057326,2.86703825,-0.02376416,0.093379572,0.018305166,2.904000044,-0.020019043,0.089765757,0.006959356,2.768441439,-0.018355956,0.093094498,0.033513069,2.80753231,-0.017072266,0.090571932,0.008532908,2.815707445,-0.015475586,0.091034867,0.034428507,2.850992441,-0.015311035,0.095134258,0.048931308,2.841765881,-0.014605469,0.09344095,-0.008343505,2.851516008,M1
-0.01347702,0.094483241,0.010125672,2.868033171,-0.01478125,0.095506445,0.002612635,2.963186502,-0.013998047,0.095357843,-0.023900352,2.87567091,-0.013577148,0.095379025,0.019825211,2.856984854,-0.01333545,0.095503241,-0.018922107,2.85263443,-0.013912598,0.092475861,-0.000695805,2.768241882,-0.013702637,0.094727106,0.044842139,2.88158226,-0.01379541,0.095375411,0.013288475,2.879743576,-0.01425293,0.09214253,0.034445252,2.818416834,-0.012213867,0.094847329,0.017704071,2.914409876,-0.013550293,0.091165245,0.009982442,2.872572184,-0.013810547,0.092986293,0.001323441,2.884817362,-0.012276855,0.096775398,0.021846484,2.845834255,-0.01323584,0.094593883,0.011508053,2.86047101,-0.012431152,0.096596055,-0.008421308,2.855750322,-0.013666016,0.09598776,0.026744148,2.86576128,-0.013092285,0.09207736,0.007463034,2.81709981,M1
-0.014896087,0.204517066,-0.79371804,17.19754028,-0.013839844,0.094779186,-0.025571076,2.951753855,-0.01315039,0.093867548,-0.008719304,2.936831951,-0.013997559,0.092200562,0.02847529,2.917919874,-0.013168945,0.094338156,-0.011491786,2.878670216,-0.01344873,0.092761323,-0.024750536,2.911177874,-0.013208984,0.093109511,-0.003837511,2.88908267,-0.01349707,0.09458828,-0.016186835,2.805254459,-0.013759278,0.099791862,0.026340393,2.929304123,-0.012580078,0.101978995,0.014072119,2.947545528,-0.013381836,0.100200616,-0.010009613,2.918825626,-0.013227539,0.097715199,0.000836313,2.916943312,-0.005248047,0.520747781,0.04504412,3.394628525,-0.021179687,0.516323328,-0.854554832,3.162918806,-0.003868164,0.101780266,-0.054204613,2.971280098,-0.031757813,0.099388599,-0.025195321,2.955688953,-0.029023437,0.095571294,-0.015737196,2.942605257,M1
-0.015838103,0.096371248,-0.002192095,2.897708178,-0.026665527,0.097519405,0.006947041,2.914001942,-0.021952637,0.099455975,-0.003259709,2.883730412,-0.018896973,0.096308209,0.000439298,2.91592741,-0.016908692,0.100225076,-0.005639296,2.926096201,-0.015628906,0.097497746,0.015760504,2.905432463,-0.015720703,0.094161138,0.010330874,2.858654022,-0.014662109,0.095834784,0.0190796,2.845154762,-0.014681152,0.092693947,0.012079199,2.923456192,-0.013129883,0.096706197,0.006622323,2.839863539,-0.014308594,0.096794568,-0.04921924,2.950494051,-0.014280274,0.093499184,0.012651535,2.871537685,-0.013205566,0.096885763,-0.001562484,2.881059408,-0.013603027,0.09258958,0.014827776,2.837895393,-0.01363916,0.094510213,-0.010558015,2.91491437,-0.013228515,0.09563975,0.018508689,2.928028822,-0.01289795,0.100113072,-0.040723067,2.849634171,M1
-0.013314392,0.093741655,-0.006009433,2.879569292,-0.013902344,0.098262809,0.005576962,2.874905825,-0.013152832,0.095802084,-0.006172975,2.902631998,-0.013065918,0.094702899,0.000543139,2.909004927,-0.013143066,0.092098564,-0.023041598,2.832090855,-0.013449707,0.089931339,0.025233375,2.845751524,-0.012341308,0.092488483,-0.004142092,2.901700735,-0.013450195,0.094135866,-0.013337107,2.831247807,-0.013097656,0.092666306,-0.024795365,2.9110322,-0.013290527,0.0950725,-0.007449761,2.911215782,-0.013577148,0.097121693,-0.007310797,2.887484074,-0.013893555,0.093950793,0.016601607,2.840320587,-0.01288916,0.094948001,0.00245541,2.921567202,-0.013743652,0.091406576,-0.034674454,2.845472813,-0.013445312,0.090769865,0.005914111,2.825597525,-0.012628418,0.094059847,-0.021313531,2.885671139,-0.013959473,0.092062682,-0.010309098,2.819529057,M1
-0.019472901,0.188583598,0.227070749,18.91941643,-0.013966309,0.092394821,0.014498989,2.824748516,-0.01363086,0.092298917,-0.002299407,2.840500355,-0.013574707,0.09118326,-0.019432858,2.887232065,-0.04485498,0.639672697,0.2209225,2.267139673,-0.145146489,0.133509055,0.99459511,11.34870052,-0.009889648,0.096323222,0.020594019,2.962872982,0.004585449,0.095424667,-0.007436158,2.900305986,0.000802734,0.091694839,0.010332783,2.855691195,-0.002675781,0.092669822,0.018306209,2.82883954,-0.006712891,0.09426336,-0.050541278,2.832680941,-0.008963867,0.093017004,0.043466318,2.876166105,-0.010249511,0.094524607,0.017471103,2.862995148,-0.01143457,0.091120549,-0.015244514,2.80240941,-0.011149414,0.09643659,0.012581971,2.890654564,-0.01220459,0.097223684,0.002608868,2.946926594,-0.012500976,0.096308716,-0.016001409,2.933682203,M1
-0.013193909,0.091529727,0.005558753,2.846324444,-0.012607422,0.093768671,0.027164532,2.848600149,-0.012644531,0.093129613,0.033512279,2.886399269,-0.013331543,0.090483613,-0.000699005,2.864781141,-0.012946289,0.093793824,-0.016347116,2.818539381,-0.013109375,0.090499833,0.00808527,2.775641918,-0.012750977,0.092751101,0.004086653,2.795975685,-0.013552735,0.094332233,-0.042123564,2.838154316,-0.013740723,0.090185963,-0.00298632,2.811865568,-0.012867187,0.092647865,0.018440124,2.873987198,-0.013046387,0.090017021,-0.00086804,2.855489016,-0.013240723,0.089769684,-0.01508487,2.837183714,-0.013168945,0.091333464,0.050144579,2.844052315,-0.013454102,0.089995466,0.022673652,2.839344263,-0.013321289,0.090013392,0.004911354,2.82645607,-0.013638671,0.091294333,-0.015163974,2.90780139,-0.013681641,0.090278856,0.011712531,2.858231783,M1
-0.027826721,0.260038167,0.359708488,10.26268196,-0.012826172,0.09115091,0.018161366,2.909418821,-0.013297851,0.092816226,0.017430646,2.978731871,-0.013730957,0.089840509,0.008708484,2.842712402,-0.01395459,0.092742682,-0.00925059,2.820567608,-0.012770019,0.088394985,0.009373249,2.792375565,-0.01368457,0.09027005,-0.017790211,2.808607817,-0.013147461,0.090346098,-0.017984247,2.81268239,-0.013176758,0.087919608,-0.025224391,2.823830843,-0.01246875,0.090494312,0.014505238,2.853947878,-0.013876465,0.090301722,0.000648274,2.847203732,-0.012867187,0.09042114,0.001044253,2.901078939,0.242228031,0.763162374,-0.480282247,1.768507719,-0.545475602,0.168275014,0.162380859,2.362657547,-0.025450684,0.131929606,-0.606198132,3.204347372,0.017333496,0.093634121,0.000615405,2.899522543,0.011937988,0.090790085,0.024327224,2.831211329,M1
-0.009532226,0.091858804,-0.004688462,2.85094285,0.003936035,0.09186358,0.012958332,2.917941093,-0.000308105,0.094058208,-0.002358003,2.937621832,-0.003193848,0.090407394,-0.020577785,2.814056873,-0.007290527,0.09290199,0.004440864,2.845223188,-0.010197266,0.088292673,-0.015817961,2.840725899,-0.009870606,0.089402415,-0.019147269,2.756470203,-0.010994629,0.092219584,0.009450621,2.782941103,-0.011724609,0.090236254,-0.01017653,2.843812466,-0.01282959,0.093389675,-0.016352894,2.867398262,-0.013522461,0.091210075,-0.016238021,2.86024785,-0.012781738,0.089860223,0.018504586,2.83054781,-0.012785156,0.093125932,0.007954123,2.875886202,-0.012362793,0.093600251,-0.018527731,2.860633373,-0.012459961,0.091869049,-0.015402567,2.817258358,-0.012772949,0.093618929,-0.001949689,2.840931892,-0.013357422,0.091260493,-0.006310145,2.81047368,M1
